"Expected GGWP (USD)","Policy Underwriting Month","Policy Underwriting Year","Reserving Class Code","Reserving Class Full Name level 1"
"875903.589167546","5","2021","ENCON","ENERGY (ENR)"
"2678736.0377391116","5","2021","ENOFF","ENERGY (ENR)"
"4194787.940191572","5","2021","ENONS","ENERGY (ENR)"
"309257.63253136014","5","2021","PRTOT","PROPERTY (PRO)"
"43159.68037500801","5","2022","DCBON","BONDS (BON)"
"239716.07318571833","5","2022","DCFIL","FINANCIAL LINES (FIL)"
"1098632.1493297683","5","2022","DCLIA","GENERAL LIABILITY (LIA)"
"214955.98021395897","5","2022","DCMAR","MARINE (MAR)"
"1419218.1620228228","5","2022","ENOFF","ENERGY (ENR)"
"4340982.856170213","5","2022","ENONS","ENERGY (ENR)"
"53135.4","5","2022","ENOTH","ENERGY (ENR)"
"267428.89840446936","5","2022","PRTOT","PROPERTY (PRO)"
"39030.97030036597","5","2023","DCBON","BONDS (BON)"
"487747.0781594019","5","2023","DCFIL","FINANCIAL LINES (FIL)"
"1476747.0770186998","5","2023","DCLIA","GENERAL LIABILITY (LIA)"
"369792.4682962175","5","2023","DCMAR","MARINE (MAR)"
"264374.14564966","5","2023","ENCON","ENERGY (ENR)"
"1808203.045000337","5","2023","ENOFF","ENERGY (ENR)"
"5451267.044742661","5","2023","ENONS","ENERGY (ENR)"
"116817.58006667","5","2023","ENOTH","ENERGY (ENR)"
"7422350.071428807","5","2023","LIIND","LIFE (LIF)"
"692545.9467745497","5","2023","PRTOT","PROPERTY (PRO)"
"1361695.225","5","2024","ENCON","ENERGY (ENR)"
"1107929.4061792162","5","2024","ENOFF","ENERGY (ENR)"
"4691725.371083785","5","2024","ENONS","ENERGY (ENR)"
"306842.8555951188","5","2024","ENOTH","ENERGY (ENR)"
"1748372.817707549","5","2024","LIIND","LIFE (LIF)"
"447914.99823553103","5","2024","PRTOT","PROPERTY (PRO)"
"350000.0","5","2025","DCFRO","FRONTED (FRO)"
"331682.165","5","2025","ENCON","ENERGY (ENR)"
"301429.9875","5","2025","ENOFF","ENERGY (ENR)"
"4160006.3840857265","5","2025","ENONS","ENERGY (ENR)"
"519811.77541605645","5","2025","ENOTH","ENERGY (ENR)"
"2248602.8005992277","5","2025","LIIND","LIFE (LIF)"
"34378.24245888207","5","2025","LISHT","LIFE (LIF)"
"488961.12869493885","5","2025","PRTOT","PROPERTY (PRO)"
"28486.283755182623","6","2017","DCENR","ENERGY (ENR)"
"328538.09562800964","6","2017","DCFIL","FINANCIAL LINES (FIL)"
